,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
60,SOL,USDT,FTX,,,,206.058561,205.76146899999998,31,2021-12-04 00:41:06.671,2021-12-04 00:41:09.391,206.12,0.03,206.2125,8.32,0.0,0.0,0.0,0.0
61,SOL,USDT,Binance,,,,206.60516357421875,206.1749267578125,31,2021-12-04 00:41:06.671,2021-12-04 00:41:09.391,206.14000000,6.68000000,206.15000000,3.12000000,0.0,0.0,0.0,0.0
62,SOL,USDT,Binance,,,,206.33493041992188,205.9950714111328,32,2021-12-04 00:42:33.780,2021-12-04 00:42:36.336,205.98000000,14.47000000,205.99000000,25.64000000,0.0,0.0,0.0,0.0
63,SOL,USDT,FTX,,,,206.75898099999998,206.441061,32,2021-12-04 00:42:33.780,2021-12-04 00:42:36.336,205.92,0.31,205.9525,15.18,0.0,0.0,0.0,0.0
64,SOL,USDT,Binance,,,,204.78369140625,204.31640625,33,2021-12-04 00:43:35.662,2021-12-04 00:43:37.796,204.69000000,17.47000000,204.70000000,15.37000000,0.0,0.0,0.0,0.0
65,SOL,USDT,FTX,,,,205.48071449999998,205.2242915,33,2021-12-04 00:43:35.662,2021-12-04 00:43:37.796,204.6725,3.8,204.795,24.23,0.0,0.0,0.0,0.0
66,SOL,USDT,FTX,,,,204.8303245,204.517216,34,2021-12-04 00:44:00.850,2021-12-04 00:44:03.195,204.97,3.8,205.22,0.48,0.0,0.0,0.0,0.0
67,SOL,USDT,Binance,,,,205.2440643310547,204.865966796875,34,2021-12-04 00:44:00.850,2021-12-04 00:44:03.195,205.01000000,4.62000000,205.13000000,7.35000000,0.0,0.0,0.0,0.0
68,SOL,USDT,Binance,,,,204.3633575439453,204.02664184570312,35,2021-12-04 00:44:26.420,2021-12-04 00:44:28.464,204.04000000,12.97000000,204.10000000,1.95000000,0.0,0.0,0.0,0.0
69,SOL,USDT,FTX,,,,205.2055495,204.802045,35,2021-12-04 00:44:26.420,2021-12-04 00:44:28.464,204.02,1.15,204.0275,23.26,0.0,0.0,0.0,0.0
70,SOL,USDT,Kucoin,,,,203.39720153808594,202.94085693359375,36,2021-12-04 00:44:39.498,2021-12-04 00:44:41.990,203.456,4.9071,203.571,9.7749,0.0,0.0,0.0,0.0
71,SOL,BTC,FTX,BTC,USDT,FTX,204.47703177947676,203.87047507352239,36,2021-12-04 00:44:39.498,2021-12-04 00:44:41.990,0.003815,2.1,0.00381775,7.51,53378.0,0.1231,53381.0,0.0347
72,SOL,USDT,Kucoin,,,,204.1649627685547,203.64015197753906,37,2021-12-04 00:45:06.946,2021-12-04 00:45:09.744,204.317,4.84,204.396,0.0398,0.0,0.0,0.0,0.0
73,SOL,USDT,Binance,,,,204.71363830566406,204.3463897705078,37,2021-12-04 00:45:06.946,2021-12-04 00:45:09.744,204.53000000,0.65000000,204.61000000,6.54000000,0.0,0.0,0.0,0.0
74,SOL,USDT,Binance,,,,204.21324157714844,203.85678100585938,38,2021-12-04 00:45:44.686,2021-12-04 00:45:47.105,204.11000000,15.42000000,204.18000000,16.90000000,0.0,0.0,0.0,0.0
75,SOL,USDT,FTX,,,,204.56266399999998,204.2548735,38,2021-12-04 00:45:44.686,2021-12-04 00:45:47.105,203.895,6.22,204.0875,3.93,0.0,0.0,0.0,0.0
76,SOL,USDT,Kucoin,,,,203.42222595214844,202.87991333007812,39,2021-12-04 00:46:22.119,2021-12-04 00:46:24.443,203.11,11.8395,203.171,15.4092,0.0,0.0,0.0,0.0
77,SOL,USDT,FTX,,,,203.8047095,203.5403025,39,2021-12-04 00:46:22.119,2021-12-04 00:46:24.443,203.1475,3.8,203.205,14.13,0.0,0.0,0.0,0.0
